상권_코드_명,시도명,시군구명,행정동명,위도,경도
보문로26길,서울,성북구,안암동,37.58720469,127.0213536
보문로31길,서울,성북구,삼선동,37.58816965,127.0156814
동작구 총신대입구역_1,서울,동작구,사당2동,37.48597766,126.9808236
서울 관악구 신림역_4,서울,관악구,신림동,37.48643614,126.9302137
뱅뱅사거리_1,서울,강남구,도곡1동,37.48862344,127.0334695
뱅뱅사거리,서울,서초구,서초2동,37.49098505,127.0298295
개봉동 현대아파트 인근,서울,구로구,개봉3동,37.48956732,126.8557969
교대역_1,서울,서초구,서초3동,37.49079003,127.0115676
창동역,서울,도봉구,창4동,37.65280638,127.049
서울 노원구 노원역_1,서울,노원구,상계6.7동,37.65411533,127.0626902
서울 노원구 노원역_2,서울,노원구,상계6.7동,37.65463985,127.0589057
서울 노원구 노원역_3,서울,노원구,상계2동,37.6560165,127.0625105
서울 종로구 종로5가역_1,서울,종로구,종로5.6가동,37.5704211,127.0013923
서울 은평구 연신내역_3,서울,은평구,불광2동,37.62069666,126.9204716
서울 강북구 수유역_3,서울,강북구,수유3동,37.64085736,127.027204
구의시장,서울,광진구,구의2동,37.54550242,127.0884672
동부시장,서울,동대문구,답십리1동,37.56730095,127.0526
답십리시장,서울,동대문구,답십리2동,37.57364133,127.0581966
전곡시장,서울,동대문구,장안2동,37.57808652,127.0688302
청량리청과물시장,서울,동대문구,제기동,37.58011692,127.0431899
사당시장,서울,동작구,사당4동,37.48300327,126.9751372
남부종합시장,서울,서초구,방배본동,37.49477208,126.9848923
양재시장,서울,서초구,양재1동,37.48407188,127.0383066
등마루시장,서울,강서구,등촌1동,37.55670622,126.8601607
신월중앙시장,서울,강서구,등촌3동,37.55884882,126.8443457
남성역골목시장,서울,동작구,사당4동,37.48348922,126.9724574
서울 서초구 남부터미널역_3,서울,서초구,서초1동,37.48678,127.0161916
동작구 총신대입구역_2,서울,서초구,방배4동,37.48591493,126.9830284
양재역_3,서울,서초구,서초2동,37.48651571,127.0311506
양재역_2,서울,서초구,양재1동,37.48365803,127.0363617
서울 관악구 신림역_1,서울,관악구,서원동,37.48295743,126.9288376
서울 관악구 신림역_2,서울,관악구,서원동,37.48284146,126.930805
서울 서초구 남부터미널역_1,서울,서초구,서초1동,37.48431987,127.0187803
동일로173가길,서울,노원구,공릉1동,37.6220437,127.0724389
동일로192길,서울,노원구,공릉1동,37.62581687,127.0755691
동일로242길,서울,노원구,상계1동,37.67488501,127.058661
이태원로54길,서울,용산구,한남동,37.53654357,127.0013691
장문로45길,서울,용산구,보광동,37.52870487,127.0004638
청파로47길,서울,용산구,청파동,37.54454911,126.96792
길동복조리시장,서울,강동구,길동,37.53844739,127.1436749
사가정시장,서울,중랑구,면목3.8동,37.58126146,127.0904454
중화제일시장,서울,중랑구,묵2동,37.60481491,127.0754459
태능시장,서울,중랑구,중화2동,37.59826401,127.0765377
묵1동도깨비시장,서울,중랑구,묵1동,37.61687551,127.0809515
우림골목시장,서울,중랑구,망우본동,37.59766245,127.0980521
유영시장,서울,중랑구,망우3동,37.59157275,127.0968439
돈암제일시장,서울,성북구,삼선동,37.59189072,127.0158746
영천시장,서울,서대문구,천연동,37.57045981,126.9612983
교대역_2,서울,서초구,서초1동,37.49326729,127.0159668
역삼역_1,서울,강남구,역삼1동,37.49411846,127.0372262
교대역_3,서울,서초구,서초3동,37.49424084,127.0120431
가락시장,서울,송파구,가락1동,37.49406981,127.1134878
방배동카페골목,서울,서초구,방배본동,37.49467315,126.986385
서울 강남구 강남역_1,서울,서초구,서초2동,37.49534653,127.0273208
서울 광진구 군자역,서울,광진구,군자동,37.55666383,127.078487
학동사거리_1,서울,강남구,논현2동,37.52150924,127.0364932
관악구 사당역_3,서울,관악구,남현동,37.47552598,126.9809732
포이사거리_2,서울,서초구,양재2동,37.47659146,127.0441703
포이사거리_1,서울,강남구,개포4동,37.47700518,127.0461038
장지역,서울,송파구,문정2동,37.47724848,127.1220432
가산디지털단지역_1,서울,금천구,가산동,37.47198422,126.8845673
구로디지탈1단지,서울,구로구,구로3동,37.48380626,126.8950868
서울 서초구 남부터미널역_2,서울,서초구,서초3동,37.48642893,127.0136927
서울 관악구 신림역_3,서울,관악구,신림동,37.48548907,126.9285299
서울 강남구 수서역,서울,강남구,수서동,37.48763689,127.1033808
해등로16길,서울,도봉구,창5동,37.65547575,127.0426669
공릉로58길,서울,노원구,하계1동,37.63615219,127.0739707
정릉로27길,서울,성북구,정릉2동,37.60697367,127.0128654
정릉로8길,서울,성북구,정릉3동,37.60714554,126.9979275
우이천로4다길,서울,도봉구,창3동,37.63521345,127.0403101
이태원제일시장,서울,용산구,이태원2동,37.53914684,126.9877913
보광시장,서울,용산구,보광동,37.52702,127.0003733
남평화시장,서울,중구,신당동,37.56916823,127.01081
동평화시장,서울,중구,신당동,37.56924909,127.0130739
제일평화시장,서울,중구,신당동,37.56837528,127.0115683
종암로16길,서울,성북구,종암동,37.598247,127.0369496
청평화시장,서울,중구,신당동,37.56959124,127.0150096
약수시장,서울,중구,약수동,37.55277912,127.0105587
백학시장,서울,중구,신당5동,37.56369808,127.0194001
서울중앙시장,서울,중구,황학동,37.56695965,127.0196386
조양시장,서울,광진구,자양4동,37.53891195,127.0674817
연서시장,서울,은평구,불광2동,37.61957123,126.9216735
갈현시장,서울,은평구,갈현1동,37.6237399,126.9174099
역촌중앙시장,서울,은평구,갈현2동,37.61327859,126.9162209
대조시장,서울,은평구,대조동,37.60950151,126.9268598
포스코사거리_1,서울,강남구,삼성2동,37.50896056,127.0540067
포스코사거리_2,서울,강남구,삼성1동,37.50973437,127.0562468
강남구 논현역_3,서울,강남구,논현1동,37.51210638,127.0218411
선정릉역_2,서울,강남구,삼성2동,37.51196421,127.0462045
서울 강남구 학동역_1,서울,강남구,논현1동,37.51261829,127.0294761
코엑스,서울,강남구,삼성1동,37.51107515,127.0597541
삼성역_3,서울,강남구,삼성1동,37.51170369,127.063883
서울 서초구 서초역,서울,서초구,서초3동,37.49331308,127.0089446
서울 송파구 가락시장역,서울,송파구,가락본동,37.49393806,127.1191868
가산디지털단지역_3,서울,금천구,가산동,37.47843726,126.8864341
서울 관악구 서울대입구역_2,서울,관악구,행운동,37.48387124,126.9548417
양재역_1,서울,서초구,양재1동,37.48195645,127.0317592
서울 금천구 시흥1동_4,서울,금천구,시흥1동,37.45294317,126.9015155
서울 강남구 대치역_2,서울,강남구,대치1동,37.49350556,127.0597061
양재 화물트럭터미널앞_1,서울,서초구,양재2동,37.46195288,127.0357295
양재 화물트럭터미널앞_2,서울,서초구,양재2동,37.46448435,127.0369515
양재동 꽃시장,서울,서초구,양재2동,37.46679893,127.0400951
서울 금천구 독산1동_1,서울,금천구,독산1동,37.47001303,126.8964739
서울 관악구 대학동_1,서울,관악구,대학동,37.47045749,126.9397583
아차산로78길,서울,광진구,광장동,37.54628822,127.1078297
용마산로21길,서울,광진구,중곡2동,37.56270496,127.0850693
용마산로3길,서울,광진구,중곡2동,37.5565603,127.0848813
자양로11길,서울,광진구,자양1동,37.53391961,127.082887
장월로1길,서울,성북구,월곡2동,37.60613693,127.0448697
장위로50길,서울,성북구,장위3동,37.61465503,127.0570619
정릉로26길,서울,성북구,정릉2동,37.60382034,127.0115738
방산종합시장,서울,중구,을지로동,37.56803347,127.0001245
통인시장,서울,종로구,청운효자동,37.5806796,126.9699084
광장시장,서울,종로구,종로1.2.3.4가동,37.56997061,126.9994114
동대문종합시장,서울,종로구,종로5.6가동,37.57042083,127.0080935
종로신진시장,서울,종로구,종로5.6가동,37.57036693,127.0052976
충신시장,서울,종로구,종로5.6가동,37.57410604,127.0057167
동문시장,서울,종로구,창신1동,37.57053771,127.0111272
창신골목시장,서울,종로구,창신2동,37.57285323,127.0115237
신설종합시장,서울,종로구,숭인2동,37.57266272,127.0209872
후암시장,서울,용산구,후암동,37.55063283,126.9762804
신흥시장,서울,용산구,용산2가동,37.54525531,126.9850632
용문전통시장,서울,용산구,용문동,37.53654591,126.9602636
이촌종합시장,서울,용산구,이촌1동,37.52060217,126.9747628
이태원시장,서울,용산구,이태원1동,37.53389416,126.9893987
강남구 논현역_1,서울,서초구,반포1동,37.50677241,127.0219414
신천역,서울,송파구,잠실본동,37.51020605,127.0817071
선정릉역_1,서울,강남구,삼성2동,37.51066651,127.0468371
강남구 논현역_2,서울,강남구,논현1동,37.50806926,127.0249729
만리시장,서울,용산구,청파동,37.55128735,126.9636734
신도림역,서울,구로구,신도림동,37.50830905,126.8900534
뱅뱅사거리_2,서울,강남구,역삼1동,37.49169615,127.0324871
서울 강남구 대치역_1,서울,강남구,대치1동,37.49328826,127.061764
관악구 사당역_2,서울,동작구,사당1동,37.47816587,126.9805656
가산디지털단지역_2,서울,금천구,가산동,37.48187277,126.8800183
관악구 사당역_1,서울,서초구,방배2동,37.47817528,126.9831885
서울 관악구 서울대입구역_1,서울,관악구,청룡동,37.48073476,126.9523789
구로디지털단지역,서울,구로구,가리봉동,37.48080875,126.8883639
잠실역 롯데월드,서울,송파구,잠실3동,37.51137391,127.0980749
보라매공원,서울,동작구,신대방2동,37.49117227,126.9250417
원효로53길,서울,용산구,용문동,37.53733049,126.9624469
원효로89길,서울,용산구,원효로1동,37.5412787,126.9687022
이촌로22길,서울,용산구,이촌2동,37.52582235,126.9556649
이태원로27길,서울,용산구,이태원1동,37.53597579,126.993811
아차산로51길,서울,광진구,구의1동,37.539901,127.0846587
아차산로55길,서울,광진구,구의1동,37.53934932,127.0874981
아차산로65길,서울,광진구,구의3동,37.5427331,127.0927072
화양제일골목시장,서울,광진구,화양동,37.54295658,127.068979
중곡제일시장,서울,광진구,중곡1동,37.5638159,127.0812223
면곡골목시장,서울,광진구,중곡3동,37.57106923,127.0807547
신성골목시장,서울,광진구,중곡4동,37.55788221,127.0883686
자양골목시장,서울,광진구,자양1동,37.53425519,127.0796741
자양종합시장,서울,광진구,자양2동,37.53185168,127.0764019
노룬산골목시장,서울,광진구,자양4동,37.53659779,127.0649678
능동로골목시장,서울,광진구,자양3동,37.53511015,127.0667428
영동교골목시장,서울,광진구,자양4동,37.53803093,127.0639733
남대문시장,서울,중구,회현동,37.55986846,126.9783939
신중부시장,서울,중구,광희동,37.56560078,127.0002603
인현시장,서울,중구,광희동,37.56325808,126.9950651
평화시장,서울,중구,광희동,37.56887112,127.0080368
은마아파트입구사거리_3,서울,강남구,대치4동,37.49906476,127.0597332
은마아파트입구사거리_4,서울,강남구,대치2동,37.49975746,127.0618146
서울 강남구 한티역,서울,강남구,대치4동,37.49817571,127.0535806
서울 광진구 건대입구역_2,서울,광진구,화양동,37.54169481,127.0696001
서울 마포구 마포역_2,서울,마포구,용강동,37.54054031,126.9451897
