주차장명,유무료구분명,야간무료개방여부명,"토요일 유,무료 구분명","공휴일 유,무료 구분명",위도,경도,주소
초안산근린공원주차장(구),유료,야간 미개방,무료,무료,37.64927895,127.0404744,도봉구
마들스타디움(근린공원)(구),유료,야간 미개방,무료,무료,37.64391748,127.0585674,노원구
마장동(건물) 공영주차장(구),유료,야간 미개방,무료,무료,37.56993875,127.0351452,성동구
영등포여고 공영(구),유료,야간 미개방,무료,무료,37.51520496,126.915116,영등포구
당산근린공원 공영(구),유료,야간 미개방,무료,무료,37.52552609,126.8957941,영등포구
대림운동장(구),유료,야간 미개방,무료,무료,37.49965667,126.8948384,영등포구
중산공영주차장(구),유료,야간 미개방,무료,무료,37.56867158,127.0589207,동대문구
방학동 도깨비시장 공영주차장(구),유료,야간 미개방,무료,무료,37.6645806,127.0339057,도봉구
은평평화공원(구),유료,야간 미개방,무료,무료,37.60573659,126.9231083,은평구
압구정 428 공영주차장(구),유료,야간 미개방,무료,무료,37.52701729,127.0264712,강남구
신림동공영주차장(구),유료,야간 미개방,무료,무료,37.48736246,126.9234342,관악구
포이초교 공영주차장(구),유료,야간 미개방,무료,무료,37.47564571,127.052365,강남구
수유2동 공영주차장(구),유료,야간 미개방,무료,무료,37.64603214,127.0219081,강북구
송중동(임시)공영주차장(구),유료,야간 미개방,무료,무료,37.61105539,127.0334978,강북구
바람개비주차장(구),유료,야간 미개방,유료,유료,37.53033824,126.8742749,양천구
구로디지털단지역 공영주차장(시),유료,야간 미개방,무료,무료,37.48543179,126.9012433,구로구
상계2동 공영주차장(구),유료,야간 미개방,무료,무료,37.6567376,127.067531,노원구
논현로22길(시),유료,야간 미개방,무료,무료,37.48150119,127.0478133,강남구
신당동 공영주차장(구),유료,야간 미개방,무료,무료,37.56204618,127.0144272,중구
남산동 공영주차장(구),유료,야간 미개방,무료,무료,37.55923691,126.985624,중구
불암산 공영주차장(구),유료,야간 미개방,유료,유료,37.66192599,127.0793403,노원구
역삼1문화센터 공영주차장(구),유료,야간 미개방,무료,무료,37.49534845,127.0332376,강남구
언북초교 공영주차장(구),유료,야간 미개방,무료,무료,37.51999434,127.0456589,강남구
삼성1문화센터 공영주차장(구),유료,야간 미개방,무료,무료,37.51434435,127.0626519,강남구
논현초교 공영주차장(구),유료,야간 미개방,무료,무료,37.50822463,127.0262625,강남구
언주초 공영주차장(구),유료,야간 미개방,무료,무료,37.48664435,127.0370504,강남구
연광초교지하공동주차장(구),유료,야간 미개방,무료,무료,37.62387156,126.9242215,은평구
구파발역 공영주차장(시),유료,야간 미개방,무료,무료,37.63800702,126.9193218,은평구
살곶이(평면) 공영주차장(구),유료,야간 미개방,무료,무료,37.55384954,127.0482917,성동구
응봉역공영주차장(구),무료,야간 미개방,유료,유료,37.55039155,127.0344811,성동구
마장축산물시장(건물) 공영주차장(구),유료,야간 미개방,무료,무료,37.571538,127.039926,성동구
볏골공원 지하공영주차장(구),유료,야간 미개방,유료,유료,37.54149243,126.844396,강서구
한누리(구),유료,야간 미개방,무료,무료,37.47743578,126.9770784,동작구
동작주차공원(구),유료,야간 미개방,무료,무료,37.50309257,126.9782686,동작구
신사동 제1공영주차장(구),유료,야간 미개방,무료,무료,37.48444431,126.915461,관악구
길음역환승주차장(구),유료,야간 미개방,무료,무료,37.60423761,127.0258183,성북구
잠원동방음언덕형공영주차장(구),유료,야간 미개방,무료,무료,37.51638775,127.0163891,서초구
반포2동 공영주차장(구),유료,야간 미개방,무료,무료,37.50421414,126.9954231,서초구
반포서래공영주차장[서래마을 3호점](구),유료,야간 미개방,무료,무료,37.49814931,126.9978319,서초구
청계산 청룡주차장(구),유료,야간 미개방,무료,무료,37.44657405,127.0598862,서초구
봉천복개3 공영주차장(시),유료,야간 미개방,무료,유료,37.48811293,126.9312942,관악구
독산동 금천교 공영주차장(시),유료,야간 미개방,무료,유료,37.46654112,126.8899593,금천구
신답고가 주변(구),유료,야간 미개방,무료,유료,37.57023162,127.050032,동대문구
동부청과 공영주차장(시),유료,야간 미개방,무료,무료,37.57735487,127.0447018,동대문구
동대문소방서노상(구),유료,야간 미개방,무료,유료,37.56399275,127.0671773,동대문구
여의도공원앞1 노상주차장(구),유료,야간 미개방,무료,유료,37.52404698,126.9175843,영등포구
청계2(북2) 공영주차장(시),유료,야간 미개방,무료,유료,37.56882965,126.9963054,종로구
청계3(북1) 공영주차장(시),유료,야간 미개방,무료,유료,37.56919089,126.9986443,종로구
가마산고가밑 공영주차장(시),유료,야간 미개방,무료,유료,37.49283218,126.8824385,구로구
청계3(남) 공영주차장(시),유료,야간 미개방,무료,유료,37.56904563,126.9996694,중구
청계6(청평화) 공영주차장(시),유료,야간 미개방,무료,유료,37.56960075,127.015214,중구
청계2(남) 공영주차장(시),유료,야간 미개방,무료,유료,37.5682559,126.9934303,중구
청계1(남) 공영주차장(시),유료,야간 미개방,무료,유료,37.56816293,126.9918994,중구
남대문 화물 공영주차장(시),유료,야간 미개방,무료,무료,37.56096448,126.9781343,중구
중앙일보사옆 관광버스전용 주차장(시),무료,야간 미개방,유료,유료,37.56130762,126.9718927,중구
한진면세점앞 노상 공영주차장(구),유료,야간 미개방,무료,유료,37.55630227,126.975572,중구
해운센터빌딩 앞 노상 공영주차장(구),유료,야간 미개방,무료,유료,37.56312811,126.9807402,중구
신설동 공영주차장(시),유료,야간 미개방,무료,무료,37.57252061,127.0242568,동대문구
천호2동노외주차장(구),유료,야간 미개방,무료,무료,37.54032781,127.1230483,강동구
구의3동 공영주차장(구),유료,야간 미개방,무료,무료,37.5391245,127.0913897,광진구
광진광장 공영주차장(구),유료,야간 미개방,무료,무료,37.54770648,127.0732696,광진구
암사1동(구),유료,야간 미개방,무료,무료,37.55284955,127.1380234,강동구
양화진 공영주차장(구),유료,야간 미개방,무료,무료,37.545733,126.9112039,마포구
망원1-2 공영주차장(구),유료,야간 미개방,무료,무료,37.55558459,126.9058731,마포구
덕원주차장(구),유료,야간 미개방,무료,무료,37.5623712,127.0687626,동대문구
청계주차장(구),유료,야간 미개방,무료,유료,37.57223438,127.0342946,동대문구
영등포동제3공영(구),유료,야간 미개방,무료,무료,37.517985,126.902785,영등포구
신길1동공영(구),무료,야간 미개방,유료,유료,37.5102769,126.9186371,영등포구
청파동1마을공원공영주차장(구),유료,야간 미개방,무료,무료,37.54294115,126.9684714,용산구
청파동청사(구),유료,야간 미개방,무료,무료,37.54549939,126.9699178,용산구
용산전자상가4(구),유료,야간 미개방,무료,무료,37.53388844,126.9600572,용산구
영등포구청역 공영주차장(시),유료,야간 미개방,무료,무료,37.52432737,126.8954889,영등포구
잠실역 공영주차장(시),유료,야간 미개방,무료,무료,37.51427683,127.1034141,송파구
장안2동 공영주차장(시),유료,야간 미개방,무료,무료,37.5782752,127.070619,동대문구
해방촌노외 공영주차장(시),유료,야간 미개방,무료,무료,37.54438297,126.9843042,용산구
당산노외 공영주차장(시),유료,야간 미개방,무료,무료,37.52625065,126.8994538,영등포구
명일동 공영주차장(시),유료,야간 미개방,무료,유료,37.55361065,127.1559121,강동구
도곡로21길 7 공영주차장(구),유료,야간 미개방,무료,무료,37.49250002,127.0388068,강남구
탄천제2호 공영주차장(구),유료,야간 미개방,무료,무료,37.49403327,127.087416,강남구
영희초교 공영주차장(구),유료,야간 미개방,무료,무료,37.49192117,127.0812916,강남구
배봉공영주차장(구),유료,야간 미개방,무료,무료,37.58693739,127.0620858,동대문구
하늘공원주차장(구),유료,야간 미개방,무료,무료,37.48713079,126.8808015,구로구
개봉1동마을공동주차장(구),유료,야간 미개방,유료,유료,37.50455714,126.8460846,구로구
개봉1동 노외주차장(구),유료,야간 미개방,무료,무료,37.50001376,126.8510351,구로구
양재시민의숲(매헌)역 공영주차장(구),유료,야간 미개방,무료,무료,37.47037133,127.0385513,서초구
송정동(건물) 공영주차장(구),유료,야간 미개방,무료,무료,37.549976,127.0680728,성동구
동작대교 공영주차장(시),유료,야간 미개방,무료,무료,37.518577,126.983287,용산구
망원동 공영주차장(시),유료,야간 미개방,무료,무료,37.55955925,126.9066011,마포구
개화역 공영주차장(시),유료,야간 미개방,무료,무료,37.57798421,126.7982122,강서구
신대방역 공영주차장(시),유료,야간 미개방,무료,무료,37.48830327,126.9145228,관악구
구로디지털단지역(상) 공영주차장(시),유료,야간 미개방,무료,무료,37.48481135,126.9032339,관악구
학여울 공영주차장(시),유료,야간 미개방,무료,무료,37.49705092,127.0723954,강남구
일원터널 공영주차장(시),유료,야간 미개방,무료,무료,37.48285728,127.079372,강남구
창동역(서) 공영주차장(시),유료,야간 미개방,무료,무료,37.65237042,127.0456768,도봉구
청암공영주차장(무인)(구),무료,야간 미개방,유료,유료,37.62472117,127.0153864,강북구
은혜공영주차장(무인)(구),무료,야간 미개방,유료,유료,37.62796164,127.0169995,강북구
송천동공영주차장(구),유료,야간 미개방,무료,무료,37.61458475,127.0251644,강북구
수유일공원공영주차장(구),유료,야간 미개방,무료,무료,37.63061186,127.0174307,강북구
번2동 공영주차장(무인)(구),무료,야간 미개방,유료,유료,37.62683533,127.0367553,강북구
미아동공영주차장(구),유료,야간 미개방,무료,무료,37.6285679,127.0223596,강북구
수유동쌈지마당공영주차장(구),유료,야간 미개방,무료,무료,37.63207449,127.0236192,강북구
당곡중학교공영 (지하주차장)(구),유료,야간 미개방,무료,무료,37.49190539,126.9330035,관악구
석계역 공영주차장(시),유료,야간 미개방,무료,무료,37.615292,127.062997,노원구
새서울주차장(시),유료,야간 미개방,무료,무료,37.45328014,126.902969,금천구
한마음주차장(구),유료,야간 미개방,무료,무료,37.53067739,126.8778804,양천구
적선동 주차장(시),유료,야간 미개방,무료,무료,37.57449014,126.9741859,종로구
해군본부앞 공영주차장(시),유료,야간 미개방,무료,유료,37.50428687,126.9209473,영등포구
가산동 금천교 공영주차장(시),유료,야간 미개방,무료,유료,37.46597244,126.8870689,금천구
당산고가밑 공영주차장(시),유료,야간 미개방,무료,유료,37.53258231,126.9008395,영등포구
을지로 공영주차장(시),유료,야간 미개방,무료,유료,37.56671375,127.0007715,중구
연신중학교지하공동주차장(구),유료,야간 미개방,무료,무료,37.6232864,126.9250857,은평구
구청앞(구),유료,야간 미개방,무료,무료,37.63875948,127.0252192,강북구
신길5동 공영(구),유료,야간 미개방,무료,무료,37.5022256,126.9048131,영등포구
남산공원 소월로 관광버스전용 주차장(시),무료,야간 미개방,유료,유료,37.55399553,126.9789082,중구
탑골공원 관광버스전용 주차장(시),무료,야간 미개방,유료,유료,37.57126963,126.987766,종로구
청계산근린광장(구),유료,야간 미개방,무료,무료,37.44649791,127.0561579,서초구
강일동공영주차장(구),유료,야간 미개방,무료,무료,37.56645809,127.1722653,강동구
이경시장 공영주차장(구),유료,야간 미개방,무료,유료,37.59623767,127.0656343,동대문구
번동 햇살 주차장(구),유료,야간 미개방,무료,무료,37.62509512,127.0334319,강북구
봉수대공영주차장(구),유료,야간 미개방,유료,유료,37.61638404,127.1123001,중랑구
공단본부(구),유료,야간 미개방,유료,유료,37.53034734,126.8713663,양천구
양천사회단체봉사센터(구),유료,야간 미개방,유료,유료,37.53187194,126.875464,양천구
목동타운홀(구),유료,야간 미개방,유료,유료,37.53292894,126.8768775,양천구
마천동 3공영주차장(구),유료,야간 미개방,무료,무료,37.49615427,127.1498486,송파구
